x,y,Analytical solution,Numerical solution
-0.969849,-0.809045,0.0205169,0.0205169
-0.969849,-0.798995,0.0214767,0.0214767
-0.969849,-0.788945,0.0224246,0.0224246
-0.969849,-0.778894,0.0233604,0.0233604
-0.969849,-0.768844,0.0242843,0.0242843
-0.969849,-0.758794,0.0251962,0.0251962
-0.969849,-0.748744,0.026096,0.026096
-0.969849,-0.738693,0.0269839,0.0269839
-0.969849,-0.728643,0.0278598,0.0278597
-0.969849,-0.718593,0.0287236,0.0287236
-0.969849,-0.708543,0.0295755,0.0295755
-0.969849,-0.698492,0.0304154,0.0304154
-0.969849,-0.688442,0.0312432,0.0312432
-0.969849,-0.678392,0.0320591,0.0320591
-0.969849,-0.668342,0.032863,0.032863
-0.969849,-0.658291,0.0336549,0.0336549
-0.969849,-0.648241,0.0344348,0.0344347
-0.969849,-0.638191,0.0352026,0.0352026
-0.969849,-0.628141,0.0359585,0.0359585
-0.969849,-0.61809,0.0367024,0.0367024
-0.969849,-0.60804,0.0374343,0.0374343
-0.969849,-0.59799,0.0381542,0.0381542
-0.969849,-0.58794,0.0388621,0.0388621
-0.969849,-0.577889,0.039558,0.039558
-0.969849,-0.567839,0.0402419,0.0402419
-0.969849,-0.557789,0.0409138,0.0409138
-0.969849,-0.547739,0.0415737,0.0415737
-0.969849,-0.537688,0.0422216,0.0422216
-0.969849,-0.527638,0.0428575,0.0428575
-0.969849,-0.517588,0.0434814,0.0434814
-0.969849,-0.507538,0.0440933,0.0440933
-0.969849,-0.497487,0.0446932,0.0446932
-0.969849,-0.487437,0.0452811,0.0452811
-0.969849,-0.477387,0.045857,0.045857
-0.969849,-0.467337,0.0464209,0.0464209
-0.969849,-0.457286,0.0469729,0.0469728
-0.969849,-0.447236,0.0475128,0.0475127
-0.969849,-0.437186,0.0480407,0.0480407
-0.969849,-0.427136,0.0485566,0.0485566
-0.969849,-0.417085,0.0490605,0.0490605
-0.969849,-0.407035,0.0495525,0.0495524
-0.969849,-0.396985,0.0500324,0.0500324
-0.969849,-0.386935,0.0505003,0.0505003
-0.969849,-0.376884,0.0509563,0.0509562
-0.969849,-0.366834,0.0514002,0.0514002
-0.969849,-0.356784,0.0518321,0.0518321
-0.969849,-0.346734,0.0522521,0.052252
-0.969849,-0.336683,0.05266,0.05266
-0.969849,-0.326633,0.0530559,0.0530559
-0.969849,-0.316583,0.0534399,0.0534398
-0.969849,-0.306533,0.0538118,0.0538118
-0.969849,-0.296482,0.0541718,0.0541717
-0.969849,-0.286432,0.0545197,0.0545197
-0.969849,-0.276382,0.0548557,0.0548556
-0.969849,-0.266332,0.0551796,0.0551796
-0.969849,-0.256281,0.0554916,0.0554915
-0.969849,-0.246231,0.0557915,0.0557915
-0.969849,-0.236181,0.0560795,0.0560794
-0.969849,-0.226131,0.0563554,0.0563554
-0.969849,-0.21608,0.0566194,0.0566194
-0.969849,-0.20603,0.0568714,0.0568713
-0.969849,-0.19598,0.0571113,0.0571113
-0.969849,-0.18593,0.0573393,0.0573392
-0.969849,-0.175879,0.0575553,0.0575552
-0.969849,-0.165829,0.0577592,0.0577592
-0.969849,-0.155779,0.0579512,0.0579512
-0.969849,-0.145729,0.0581312,0.0581311
-0.969849,-0.135678,0.0582991,0.0582991
-0.969849,-0.125628,0.0584551,0.0584551
-0.969849,-0.115578,0.0585991,0.0585991
-0.969849,-0.105528,0.0587311,0.058731
-0.969849,-0.0954774,0.0588511,0.058851
-0.969849,-0.0854272,0.058959,0.058959
-0.969849,-0.0753769,0.059055,0.059055
-0.969849,-0.0653266,0.059139,0.059139
-0.969849,-0.0552764,0.059211,0.059211
-0.969849,-0.0452262,0.059271,0.059271
-0.969849,-0.0351759,0.059319,0.0593189
-0.969849,-0.0251256,0.059355,0.0593549
-0.969849,-0.0150754,0.059379,0.0593789
-0.969849,-0.00502515,0.059391,0.0593909
-0.969849,0.00502515,0.059391,0.0593909
-0.969849,0.0150753,0.059379,0.0593789
-0.969849,0.0251256,0.059355,0.0593549
-0.969849,0.0351759,0.059319,0.0593189
-0.969849,0.0452261,0.059271,0.059271
-0.969849,0.0552764,0.059211,0.059211
-0.969849,0.0653266,0.059139,0.059139
-0.969849,0.0753769,0.059055,0.059055
-0.969849,0.0854272,0.058959,0.058959
-0.969849,0.0954773,0.0588511,0.058851
-0.969849,0.105528,0.0587311,0.058731
-0.969849,0.115578,0.0585991,0.0585991
-0.969849,0.125628,0.0584551,0.0584551
-0.969849,0.135678,0.0582991,0.0582991
-0.969849,0.145729,0.0581312,0.0581311
-0.969849,0.155779,0.0579512,0.0579512
-0.969849,0.165829,0.0577592,0.0577592
-0.969849,0.175879,0.0575553,0.0575552
-0.969849,0.18593,0.0573393,0.0573392
-0.969849,0.19598,0.0571113,0.0571113
-0.969849,0.20603,0.0568714,0.0568713
-0.969849,0.21608,0.0566194,0.0566194
-0.969849,0.226131,0.0563554,0.0563554
-0.969849,0.236181,0.0560795,0.0560794
-0.969849,0.246231,0.0557915,0.0557915
-0.969849,0.256281,0.0554916,0.0554915
-0.969849,0.266332,0.0551796,0.0551796
-0.969849,0.276382,0.0548557,0.0548556
-0.969849,0.286432,0.0545197,0.0545197
-0.969849,0.296482,0.0541718,0.0541717
-0.969849,0.306533,0.0538118,0.0538118
-0.969849,0.316583,0.0534399,0.0534398
-0.969849,0.326633,0.0530559,0.0530559
-0.969849,0.336683,0.05266,0.05266
-0.969849,0.346734,0.0522521,0.052252
-0.969849,0.356784,0.0518321,0.0518321
-0.969849,0.366834,0.0514002,0.0514002
-0.969849,0.376884,0.0509563,0.0509562
-0.969849,0.386935,0.0505003,0.0505003
-0.969849,0.396985,0.0500324,0.0500324
-0.969849,0.407035,0.0495525,0.0495524
-0.969849,0.417085,0.0490605,0.0490605
-0.969849,0.427136,0.0485566,0.0485566
-0.969849,0.437186,0.0480407,0.0480407
-0.969849,0.447236,0.0475128,0.0475127
-0.969849,0.457286,0.0469729,0.0469728
-0.969849,0.467337,0.0464209,0.0464209
-0.969849,0.477387,0.045857,0.045857
-0.969849,0.487437,0.0452811,0.0452811
-0.969849,0.497487,0.0446932,0.0446932
-0.969849,0.507538,0.0440933,0.0440933
-0.969849,0.517588,0.0434814,0.0434814
-0.969849,0.527638,0.0428575,0.0428575
-0.969849,0.537688,0.0422216,0.0422216
-0.969849,0.547739,0.0415737,0.0415737
-0.969849,0.557789,0.0409138,0.0409138
-0.969849,0.567839,0.0402419,0.0402419
-0.969849,0.577889,0.039558,0.039558
-0.969849,0.58794,0.0388621,0.0388621
-0.969849,0.59799,0.0381542,0.0381542
-0.969849,0.60804,0.0374343,0.0374343
-0.969849,0.61809,0.0367024,0.0367024
-0.969849,0.628141,0.0359585,0.0359585
-0.969849,0.638191,0.0352026,0.0352026
-0.969849,0.648241,0.0344348,0.0344347
-0.969849,0.658291,0.0336549,0.0336549
-0.969849,0.668342,0.032863,0.032863
-0.969849,0.678392,0.0320591,0.0320591
-0.969849,0.688442,0.0312432,0.0312432
-0.969849,0.698492,0.0304154,0.0304154
-0.969849,0.708543,0.0295755,0.0295755
-0.969849,0.718593,0.0287236,0.0287236
-0.969849,0.728643,0.0278598,0.0278597
-0.969849,0.738693,0.0269839,0.0269839
-0.969849,0.748744,0.026096,0.026096
-0.969849,0.758794,0.0251962,0.0251962
-0.969849,0.768844,0.0242843,0.0242843
-0.969849,0.778894,0.0233605,0.0233604
-0.969849,0.788945,0.0224246,0.0224246
-0.969849,0.798995,0.0214767,0.0214767
-0.969849,0.809045,0.0205169,0.0205169
-0.969849,0.819095,0.019545,0.019545
-0.969849,0.829146,0.0185612,0.0185612
-0.969849,0.839196,0.0175653,0.0175653
-0.969849,0.849246,0.0165575,0.0165575
-0.969849,0.859296,0.0155376,0.0155376
-0.969849,0.869347,0.0145058,0.0145058
-0.969849,0.879397,0.013462,0.0134619
-0.969849,0.889447,0.0124061,0.0124061
-0.969849,0.899498,0.0113383,0.0113383
-0.969849,0.909548,0.0102584,0.0102584
-0.969849,0.919598,0.00916661,0.0091666
-0.969849,0.929648,0.00806278,0.00806277
-0.969849,0.939698,0.00694695,0.00694694
-0.969849,0.949749,0.00581911,0.00581911
-0.969849,0.959799,0.0046793,0.00467929
-0.969849,0.969849,0.00352747,0.00352746
-0.969849,0.9799,0.00236364,0.00236364
-0.969849,0.98995,0.00118782,0.00118782
